epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,173.299,0.82813,0.71099,2.02742,0.79557,0.63953,0.71067,0.57003,1.82818,2.78889,3.18906,0.0007064,0.0007064,0.0007064
100,197.851,0.87601,0.73897,2.04641,0.82416,0.65405,0.74316,0.56667,2.00826,2.82578,3.38539,0.0006932,0.0006932,0.0006932
101,222.705,0.89543,0.78464,2.07664,0.83416,0.64342,0.73445,0.57804,1.92683,2.47398,3.20296,0.00068,0.00068,0.00068
102,247.461,0.9039,0.78447,2.07581,0.76814,0.65116,0.73748,0.57902,1.9941,2.44177,3.1902,0.0006668,0.0006668,0.0006668
103,26.8933,0.84036,0.82721,2.04311,0.81329,0.68605,0.72814,0.55246,2.09332,2.36291,3.56058,0.0006536,0.0006536,0.0006536
104,52.5473,0.78496,0.6805,1.99459,0.79987,0.7093,0.72711,0.56435,2.01189,2.57807,3.38297,0.0006404,0.0006404,0.0006404
105,77.8679,0.7748,0.65101,1.99817,0.82545,0.66279,0.72224,0.58873,1.88609,2.66208,3.17854,0.0006272,0.0006272,0.0006272
106,25.1147,0.75331,0.65049,1.98714,0.80113,0.66279,0.70294,0.55184,1.97831,2.75517,3.29783,0.000614,0.000614,0.000614
107,50.3004,0.67863,0.55797,1.92929,0.79185,0.68605,0.72006,0.57251,1.80194,2.86483,3.0226,0.0006008,0.0006008,0.0006008
108,75.3505,0.67656,0.55353,1.93787,0.84019,0.67442,0.74525,0.59594,1.99076,2.54451,3.36361,0.0005876,0.0005876,0.0005876
109,100.221,0.77889,0.64006,1.9996,0.77388,0.66279,0.71748,0.54298,2.08388,2.50937,3.5104,0.0005744,0.0005744,0.0005744
110,125.208,0.78283,0.67438,1.99661,0.82772,0.68605,0.75163,0.57756,1.93963,2.55362,3.40949,0.0005612,0.0005612,0.0005612
111,150.157,0.77524,0.6523,1.99684,0.82072,0.60465,0.72243,0.5836,1.90717,2.48268,3.2414,0.000548,0.000548,0.000548
112,175.205,0.74067,0.62707,1.97369,0.76338,0.65116,0.70102,0.55214,1.97587,2.59072,3.40029,0.0005348,0.0005348,0.0005348
113,199.926,0.77531,0.65072,1.98827,0.84274,0.68605,0.74985,0.59525,1.89723,2.72525,3.23431,0.0005216,0.0005216,0.0005216
114,224.743,0.79871,0.68407,2.01634,0.80274,0.67442,0.71835,0.58336,1.9303,2.77888,3.34076,0.0005084,0.0005084,0.0005084
115,25.9306,0.71175,0.60115,1.96139,0.81385,0.67442,0.74929,0.60768,1.84531,2.56838,3.15118,0.0004952,0.0004952,0.0004952
116,51.8789,0.63361,0.51926,1.908,0.87483,0.66279,0.74663,0.60004,1.88481,2.93942,3.22594,0.000482,0.000482,0.000482
117,24.5205,0.63468,0.53725,1.92396,0.8749,0.65116,0.74728,0.61033,1.88802,2.5712,3.2868,0.0004688,0.0004688,0.0004688
118,49.7237,0.55986,0.45692,1.86537,0.84846,0.67442,0.73525,0.59147,2.06461,2.83476,3.54626,0.0004556,0.0004556,0.0004556
119,74.9607,0.62752,0.51132,1.9125,0.81666,0.65116,0.74607,0.6073,1.83396,2.96412,3.24736,0.0004424,0.0004424,0.0004424
120,100.215,0.68046,0.5448,1.94032,0.82436,0.65116,0.72432,0.58805,1.98453,2.78923,3.39186,0.0004292,0.0004292,0.0004292
121,124.734,0.69391,0.59135,1.94468,0.81307,0.66279,0.71842,0.55591,2.08262,2.98322,3.50719,0.000416,0.000416,0.000416
122,149.178,0.68285,0.56951,1.94217,0.81299,0.66279,0.72356,0.58689,1.90732,2.74194,3.23753,0.0004028,0.0004028,0.0004028
123,173.765,0.6487,0.54576,1.92609,0.82532,0.62791,0.71212,0.55911,2.05416,2.71747,3.45917,0.0003896,0.0003896,0.0003896
124,198.283,0.67952,0.56455,1.93274,0.85405,0.63953,0.72202,0.57663,1.88743,2.54011,3.36218,0.0003764,0.0003764,0.0003764
125,223.319,0.69731,0.58456,1.95841,0.78661,0.65116,0.69566,0.56611,1.93529,2.82395,3.4058,0.0003632,0.0003632,0.0003632
126,248.778,0.77203,0.64757,1.99916,0.81051,0.66279,0.69567,0.57207,1.8818,2.75861,3.21696,0.00035,0.00035,0.00035
127,273.522,0.81107,0.67401,2.03908,0.85061,0.66211,0.71753,0.57838,1.89959,2.61713,3.24858,0.0003368,0.0003368,0.0003368
